participant_ID,position,trial,phase,response,rt
P104,right,28,inhale,correct,0.431827200000043
P104,left,29,exhale,correct,0.496998200000235
P104,left,30,inhale,correct,0.356980900000053
P104,down,31,exhale,correct,0.676548299999922
P104,left,32,inhale,correct,0.32072960000005
P104,up,33,exhale,correct,0.39093369999955
P104,up,34,inhale,correct,0.460489000000052
P104,catch,35,exhale,correct,NA
P104,down,36,inhale,correct,0.371463100000256
P104,right,37,exhale,correct,0.456251399999928
P104,catch,38,inhale,correct,NA
P104,right,39,inhale,correct,0.324338500000522
P104,right,40,exhale,correct,0.362477499999841
P104,down,41,inhale,correct,0.364588899999944
P104,right,42,exhale,correct,0.309568399999989
P104,catch,43,inhale,correct,NA
P104,left,44,exhale,correct,0.336728899999798
P104,up,45,inhale,correct,0.414795699999559
P104,up,46,exhale,correct,0.555695799999739
P104,catch,47,inhale,correct,NA
P104,left,48,exhale,correct,0.43443600000046
P104,down,49,inhale,correct,0.311170799999672
P104,left,50,exhale,correct,0.34506650000003
P104,right,51,inhale,correct,0.312441600000056
P104,right,52,exhale,correct,0.350079299999379
P104,down,53,inhale,correct,0.408800799999881
P104,catch,54,exhale,correct,NA
P104,down,55,inhale,correct,0.369691900000362
P104,up,56,exhale,correct,0.363824600000044
P104,catch,57,inhale,correct,NA
P104,left,58,exhale,correct,0.301876999999877
P104,up,59,inhale,correct,0.389302900000075
P104,down,0,exhale,correct,0.345688100000189
P104,catch,1,inhale,correct,NA
P104,down,2,exhale,correct,0.40064540000003
P104,right,3,inhale,correct,0.385990499999934
P104,up,4,exhale,correct,0.460370599999806
P104,right,5,inhale,correct,0.32251769999948
P104,left,6,exhale,correct,0.374631799999406
P104,left,7,inhale,correct,0.33974599999965
P104,up,8,exhale,correct,0.368471400000089
P104,catch,9,inhale,correct,NA
P104,left,10,exhale,correct,0.32596040000044
P104,up,11,inhale,correct,0.372298399999636
P104,catch,12,exhale,correct,NA
P104,down,13,inhale,correct,0.369283600000017
P104,up,14,exhale,correct,0.384103700000196
P104,left,15,inhale,correct,0.423081199999615
P104,catch,16,exhale,correct,NA
P104,down,17,inhale,correct,0.376831200000197
P104,right,18,exhale,correct,0.589993099999447
P104,right,19,exhale,correct,0.396945000000414
P104,catch,20,exhale,correct,NA
P104,up,21,inhale,correct,0.451553899999453
P104,right,22,exhale,correct,0.42252549999921
P104,down,23,inhale,correct,0.35405770000034
P104,right,24,exhale,correct,0.440931600000113
P104,left,25,inhale,correct,0.428750499999296
P104,catch,26,exhale,correct,NA
P104,down,27,inhale,correct,0.370885599999383
P104,left,28,exhale,correct,0.464124400000401
P104,up,29,inhale,correct,0.352884899999481
P104,right,30,exhale,correct,0.527434800000265
P104,catch,31,inhale,correct,NA
P104,left,32,exhale,correct,0.346387999999934
P104,left,33,inhale,correct,0.403944799999408
P104,right,34,exhale,correct,0.527619499999673
P104,up,35,inhale,correct,0.362380399999893
