participant_ID,target_x,validity,trial,phase,response,rt,Participant
P102,0.31,invalid,45,exhale,correct,0.539390800011461,P102
P102,0.31,valid,46,exhale,correct,0.434580299988738,P102
P102,-0.31,valid,47,exhale,correct,0.400160400007735,P102
P102,-0.31,invalid,48,exhale,correct,0.472464099992067,P102
P102,10,catch,49,exhale,correct,NA,P102
P102,-0.31,valid,50,exhale,correct,0.373898399993777,P102
P102,-0.31,valid,51,exhale,correct,0.439246699999785,P102
P102,-0.31,invalid,52,exhale,correct,0.472440899990033,P102
P102,-0.31,valid,53,exhale,correct,0.355296599998837,P102
P102,10,catch,54,exhale,correct,NA,P102
P102,0.31,invalid,55,exhale,correct,0.616388199996436,P102
P102,-0.31,valid,56,exhale,correct,0.404987300003995,P102
P102,0.31,valid,57,exhale,correct,0.422079199997825,P102
P102,-0.31,invalid,58,exhale,correct,0.423431999995955,P102
P102,0.31,invalid,59,exhale,correct,0.46647140001005,P102
P102,10,catch,0,inhale,correct,NA,P102
P102,10,catch,1,inhale,correct,NA,P102
P102,0.31,invalid,2,inhale,correct,0.432012000004761,P102
P102,0.31,invalid,3,inhale,correct,0.430362099999911,P102
P102,-0.31,valid,4,inhale,correct,0.39473060000455,P102
P102,-0.31,invalid,5,inhale,correct,0.406322299997555,P102
P102,0.31,valid,6,inhale,correct,0.361447500006761,P102
P102,-0.31,invalid,7,inhale,correct,0.442170799986343,P102
P102,-0.31,valid,8,inhale,correct,0.420444100003806,P102
P102,-0.31,invalid,9,inhale,correct,0.429789600006188,P102
P102,0.31,invalid,10,inhale,correct,0.42493850000028,P102
P102,-0.31,invalid,11,inhale,correct,0.45822169999883,P102
P102,0.31,valid,12,inhale,correct,0.37839489999169,P102
P102,10,catch,13,inhale,correct,NA,P102
P102,-0.31,invalid,14,inhale,correct,0.562551700000768,P102
P102,-0.31,valid,15,inhale,correct,0.394338900005096,P102
P102,10,catch,16,inhale,correct,NA,P102
P102,10,catch,17,inhale,correct,NA,P102
P102,0.31,invalid,18,inhale,correct,0.498008299997309,P102
P102,10,catch,19,inhale,correct,NA,P102
P102,0.31,invalid,20,inhale,correct,0.446214299998246,P102
P102,-0.31,valid,21,inhale,correct,0.487869499993394,P102
P102,0.31,valid,22,inhale,correct,0.469046600002912,P102
P102,-0.31,invalid,23,inhale,correct,0.450291000001016,P102
P102,0.31,valid,24,inhale,correct,0.399423199996818,P102
P102,-0.31,invalid,25,inhale,correct,0.392051099988748,P102
P102,-0.31,valid,26,inhale,correct,0.461643900009221,P102
P102,0.31,valid,27,inhale,correct,0.417362499996671,P102
P102,10,catch,28,inhale,correct,NA,P102
P102,0.31,valid,29,inhale,correct,0.490151599995443,P102
P102,0.31,valid,30,inhale,correct,0.433673599996837,P102
P102,-0.31,valid,31,inhale,correct,0.452680700007477,P102
P102,0.31,valid,32,inhale,correct,0.41594440001063,P102
P102,-0.31,invalid,33,inhale,correct,0.42673669999931,P102
P102,10,catch,34,inhale,correct,NA,P102
P102,0.31,valid,35,inhale,correct,0.416509300004691,P102
P102,-0.31,invalid,36,inhale,correct,0.469186199989053,P102
P102,0.31,invalid,37,inhale,correct,0.409511899997597,P102
P102,0.31,invalid,38,inhale,correct,0.419817600006354,P102
P102,0.31,valid,39,inhale,correct,0.424292800002149,P102
P102,0.31,invalid,40,inhale,correct,0.473851200003992,P102
P102,10,catch,41,inhale,correct,NA,P102
P102,-0.31,valid,42,inhale,correct,0.451614499994321,P102
P102,10,catch,43,inhale,correct,NA,P102
P102,0.31,invalid,44,inhale,correct,0.426984699995955,P102
P102,0.31,invalid,45,inhale,correct,0.401282599996193,P102
P102,0.31,valid,46,inhale,correct,0.41371620001155,P102
P102,-0.31,valid,47,inhale,correct,0.386884300009115,P102
P102,-0.31,invalid,48,inhale,correct,0.371977900009369,P102
P102,10,catch,49,inhale,correct,NA,P102
P102,-0.31,valid,50,inhale,correct,0.484540999997989,P102
P102,-0.31,valid,51,inhale,correct,0.482144699999481,P102
P102,-0.31,invalid,52,inhale,correct,0.400666000001365,P102
P102,-0.31,valid,53,inhale,correct,0.537537199998042,P102
P102,10,catch,54,inhale,correct,NA,P102
P102,0.31,invalid,55,inhale,correct,0.465342399998917,P102
P102,-0.31,valid,56,inhale,correct,0.403590699992492,P102
P102,0.31,valid,57,inhale,correct,0.453213100001449,P102
P102,-0.31,invalid,58,inhale,correct,0.381575399995199,P102
P102,0.31,invalid,59,inhale,correct,0.393657299995539,P102
P103,10,catch,0,inhale,correct,NA,P103
P103,10,catch,1,inhale,correct,NA,P103
P103,0.31,invalid,2,inhale,correct,0.550107599992771,P103
P103,0.31,invalid,3,inhale,correct,0.494688199993107,P103
P103,-0.31,valid,4,inhale,correct,0.42921450000722,P103
P103,-0.31,invalid,5,inhale,correct,0.431498200006899,P103
P103,0.31,valid,6,inhale,correct,0.340707399998792,P103
P103,-0.31,invalid,7,inhale,correct,0.406217900002957,P103
P103,-0.31,valid,8,inhale,correct,0.423892000006163,P103
P103,-0.31,invalid,9,inhale,correct,0.418110900005559,P103
P103,0.31,invalid,10,inhale,correct,0.454388900005142,P103
P103,-0.31,invalid,11,inhale,correct,0.45845800000825,P103
P103,0.31,valid,12,inhale,correct,0.436381799998344,P103
P103,10,catch,13,inhale,correct,NA,P103
P103,-0.31,invalid,14,inhale,correct,0.41476149999653,P103
P103,-0.31,valid,15,inhale,correct,0.430007399991155,P103
P103,10,catch,16,inhale,incorrect,0.303278899998986,P103
P103,10,catch,17,inhale,correct,NA,P103
P103,0.31,invalid,18,inhale,correct,0.636816000012914,P103
P103,10,catch,19,inhale,correct,NA,P103
P103,0.31,invalid,20,inhale,correct,0.512050899997121,P103
P103,-0.31,valid,21,inhale,correct,0.402654999998049,P103
P103,0.31,valid,22,inhale,correct,0.460399000003235,P103
P103,-0.31,invalid,23,inhale,correct,0.466233800005284,P103
P103,0.31,valid,24,inhale,correct,0.425184299994726,P103
P103,-0.31,invalid,25,inhale,correct,0.41786129999673,P103
P103,-0.31,valid,26,inhale,correct,0.540504999997211,P103
P103,0.31,valid,27,inhale,correct,0.578636999998707,P103
P103,10,catch,28,inhale,correct,NA,P103
P103,0.31,valid,29,inhale,correct,0.60477649999666,P103
P103,0.31,valid,30,inhale,correct,0.433404199997312,P103
P103,-0.31,valid,31,inhale,correct,0.417219099996146,P103
P103,0.31,valid,32,inhale,correct,0.441471199999796,P103
P103,-0.31,invalid,33,inhale,correct,0.338394400008838,P103
P103,10,catch,34,inhale,correct,NA,P103
P103,0.31,valid,35,inhale,correct,0.539732300007017,P103
P103,-0.31,invalid,36,inhale,correct,0.446383100003004,P103
P103,0.31,invalid,37,inhale,correct,0.543441500005429,P103
P103,0.31,invalid,38,inhale,correct,0.507954000000609,P103
P103,0.31,valid,39,inhale,correct,0.531775700001162,P103
P103,0.31,invalid,40,inhale,correct,0.51950909999141,P103
P103,10,catch,41,inhale,correct,NA,P103
P103,-0.31,valid,42,inhale,correct,0.404671399999643,P103
P103,10,catch,43,inhale,correct,NA,P103
P103,0.31,invalid,44,inhale,correct,0.545212900004117,P103
P103,0.31,invalid,45,inhale,correct,0.517743299991707,P103
P103,0.31,valid,46,inhale,correct,0.405208100011805,P103
P103,-0.31,valid,47,inhale,correct,0.351576100001694,P103
P103,-0.31,invalid,48,inhale,correct,0.360193599990453,P103
P103,10,catch,49,inhale,correct,NA,P103
P103,-0.31,valid,50,inhale,correct,0.407024400003138,P103
P103,-0.31,valid,51,inhale,correct,0.487941900006263,P103
P103,-0.31,invalid,52,inhale,correct,0.506672199990135,P103
P103,-0.31,valid,53,inhale,correct,0.444484400009969,P103
P103,10,catch,54,inhale,correct,NA,P103
P103,0.31,invalid,55,inhale,correct,0.5555822999886,P103
P103,-0.31,valid,56,inhale,correct,0.439394400003948,P103
P103,0.31,valid,57,inhale,correct,0.715441599997575,P103
P103,-0.31,invalid,58,inhale,correct,0.39472699999169,P103
P103,0.31,invalid,59,inhale,correct,0.531553399996483,P103
P103,10,catch,0,exhale,correct,NA,P103
P103,10,catch,1,exhale,correct,NA,P103
P103,0.31,invalid,2,exhale,correct,0.512647099996684,P103
P103,0.31,invalid,3,exhale,correct,0.520974099999876,P103
P103,-0.31,valid,4,exhale,correct,0.434986100008246,P103
P103,-0.31,invalid,5,exhale,correct,0.519435499998508,P103
P103,0.31,valid,6,exhale,correct,0.91719639999792,P103
P103,-0.31,invalid,7,exhale,correct,0.484453299999586,P103
P103,-0.31,valid,8,exhale,correct,0.386022999999113,P103
P103,-0.31,invalid,9,exhale,correct,0.405623500002548,P103
P103,0.31,invalid,10,exhale,correct,0.338733500000671,P103
P103,-0.31,invalid,11,exhale,correct,0.391134300007252,P103
P103,0.31,valid,12,exhale,correct,0.481855899997754,P103
P103,10,catch,13,exhale,correct,NA,P103
P103,-0.31,invalid,14,exhale,correct,0.42734520000522,P103
P103,-0.31,valid,15,exhale,correct,0.343109699999331,P103
P103,10,catch,16,exhale,correct,NA,P103
P103,10,catch,17,exhale,correct,NA,P103
P103,0.31,invalid,18,exhale,correct,0.565511900000274,P103
P103,10,catch,19,exhale,correct,NA,P103
P103,0.31,invalid,20,exhale,correct,0.706752099998994,P103
P103,-0.31,valid,21,exhale,correct,0.406694100005552,P103
P103,0.31,valid,22,exhale,correct,0.444142899999861,P103
P103,-0.31,invalid,23,exhale,correct,0.481339099991601,P103
P103,0.31,valid,24,exhale,correct,0.335252200005925,P103
P103,-0.31,invalid,25,exhale,correct,0.422843899999862,P103
P103,-0.31,valid,26,exhale,correct,0.406156500001089,P103
P103,0.31,valid,27,exhale,correct,0.478324700001394,P103
P103,10,catch,28,exhale,correct,NA,P103
P103,0.31,valid,29,exhale,correct,0.484883800003445,P103
P103,0.31,valid,30,exhale,correct,0.460494600003585,P103
P103,-0.31,valid,31,exhale,correct,0.425151400006143,P103
P103,0.31,valid,32,exhale,correct,0.360884299996542,P103
P103,-0.31,invalid,33,exhale,correct,0.486438700012513,P103
P103,10,catch,34,exhale,correct,NA,P103
P103,0.31,valid,35,exhale,correct,0.462827399998787,P103
P103,-0.31,invalid,36,exhale,correct,0.638941299999715,P103
P103,0.31,invalid,37,exhale,correct,0.452894799993373,P103
P103,0.31,invalid,38,exhale,correct,0.513015300006373,P103
P103,0.31,valid,39,exhale,correct,0.931527900000219,P103
P103,0.31,invalid,40,exhale,correct,0.367743499999051,P103
P103,10,catch,41,exhale,correct,NA,P103
P103,-0.31,valid,42,exhale,correct,0.531047399999807,P103
P103,10,catch,43,exhale,correct,NA,P103
P103,0.31,invalid,44,exhale,correct,0.486891599997762,P103
P103,0.31,invalid,45,exhale,correct,0.462403999990784,P103
P103,0.31,valid,46,exhale,correct,0.35511370000313,P103
P103,-0.31,valid,47,exhale,correct,0.557702899997821,P103
P103,-0.31,invalid,48,exhale,correct,0.469064000004437,P103
P103,10,catch,49,exhale,correct,NA,P103
P103,-0.31,valid,50,exhale,correct,0.392387100000633,P103
P103,-0.31,valid,51,exhale,correct,0.467163900000742,P103
P103,-0.31,invalid,52,exhale,correct,0.382713800005149,P103
P103,-0.31,valid,53,exhale,correct,0.360674499999732,P103
P103,10,catch,54,exhale,correct,NA,P103
P103,0.31,invalid,55,exhale,correct,0.557541400004993,P103
P103,-0.31,valid,56,exhale,correct,0.469951300008688,P103
P103,0.31,valid,57,exhale,correct,0.366574699990451,P103
P103,-0.31,invalid,58,exhale,correct,0.39189620000252,P103
P103,0.31,invalid,59,exhale,correct,0.581801799999084,P103
P104,10,catch,0,exhale,correct,NA,P104
P104,10,catch,1,exhale,correct,NA,P104
P104,0.31,invalid,2,exhale,correct,0.353033199993661,P104
P104,0.31,invalid,3,exhale,correct,0.334227300001658,P104
P104,-0.31,valid,4,exhale,correct,0.438241800002288,P104
P104,-0.31,invalid,5,exhale,correct,0.539754500001436,P104
P104,0.31,valid,6,exhale,correct,0.306763000000501,P104
P104,-0.31,invalid,7,exhale,correct,0.377466699996148,P104
P104,-0.31,valid,8,exhale,correct,0.428650700006983,P104
P104,-0.31,invalid,9,exhale,correct,0.443786599993473,P104
P104,0.31,invalid,10,exhale,correct,0.381961999999476,P104
P104,-0.31,invalid,11,exhale,correct,0.37974530000065,P104
P104,0.31,valid,12,exhale,correct,0.384472400008235,P104
P104,10,catch,13,exhale,correct,NA,P104
P104,-0.31,invalid,14,exhale,correct,0.438684599997941,P104
P104,-0.31,valid,15,exhale,correct,0.341436300004716,P104
P104,10,catch,16,exhale,correct,NA,P104
P104,10,catch,17,exhale,correct,NA,P104
P104,0.31,invalid,18,exhale,correct,0.346647699989262,P104
P104,10,catch,19,exhale,correct,NA,P104
P104,0.31,invalid,20,exhale,correct,0.372633600010886,P104
P104,-0.31,valid,21,exhale,correct,0.373389099986525,P104
P104,0.31,valid,22,exhale,correct,0.357401600005687,P104
P104,-0.31,invalid,23,exhale,correct,0.353863399999682,P104
P104,0.31,valid,24,exhale,correct,0.345203799995943,P104
P104,-0.31,invalid,25,exhale,correct,0.667029399992316,P104
P104,-0.31,valid,26,exhale,correct,0.400363700013258,P104
P104,0.31,valid,27,exhale,correct,0.361429199998383,P104
P104,10,catch,28,exhale,correct,NA,P104
P104,0.31,valid,29,exhale,correct,0.438728799999808,P104
P104,0.31,valid,30,exhale,correct,0.379265399998985,P104
P104,-0.31,valid,31,exhale,correct,0.413015800004359,P104
P104,0.31,valid,32,exhale,correct,0.407135500005097,P104
P104,-0.31,invalid,33,exhale,correct,0.341421300006914,P104
P104,10,catch,34,exhale,correct,NA,P104
P104,0.31,valid,35,exhale,correct,0.535293500011903,P104
P104,-0.31,invalid,36,exhale,correct,0.69179539999458906,P104
P104,0.31,invalid,37,exhale,correct,0.369818999999552,P104
P104,0.31,invalid,38,exhale,correct,0.344180799991591,P104
P104,0.31,valid,39,exhale,correct,0.357757500009029,P104
P104,0.31,invalid,40,exhale,correct,0.377629800001159,P104
P104,10,catch,41,exhale,correct,NA,P104
P104,-0.31,valid,42,exhale,correct,0.399982000002638,P104
P104,10,catch,43,exhale,correct,NA,P104
P104,0.31,invalid,44,exhale,correct,0.414386200005538,P104
P104,0.31,invalid,45,exhale,correct,0.399045600002864,P104
P104,0.31,valid,46,exhale,correct,0.364153799993801,P104
P104,-0.31,valid,47,exhale,correct,0.369521100001293,P104
P104,-0.31,invalid,48,exhale,correct,0.41125699999975,P104
P104,10,catch,49,exhale,correct,NA,P104
P104,-0.31,valid,50,exhale,correct,0.32405560000916,P104
P104,-0.31,valid,51,exhale,correct,0.343321199994534,P104
P104,-0.31,invalid,52,exhale,correct,0.407107499995618,P104
P104,-0.31,valid,53,exhale,correct,0.416076299996348,P104
P104,10,catch,54,exhale,correct,NA,P104
P104,0.31,invalid,55,exhale,correct,0.398021200002404,P104
P104,-0.31,valid,56,exhale,correct,0.377902899999754,P104
P104,0.31,valid,57,exhale,correct,0.371675899994443,P104
P104,-0.31,invalid,58,exhale,correct,0.333876399992732,P104
P104,0.31,invalid,59,exhale,correct,0.304247799998848,P104
P104,10,catch,0,inhale,correct,NA,P104
P104,10,catch,1,inhale,correct,NA,P104
P104,0.31,invalid,2,inhale,correct,0.412443299996085,P104
P104,0.31,invalid,3,inhale,correct,0.439228100003675,P104
P104,-0.31,valid,4,inhale,correct,0.409692600005656,P104
P104,-0.31,invalid,5,inhale,correct,0.338136899998062,P104
P104,0.31,valid,6,inhale,correct,0.316289900001721,P104
P104,-0.31,invalid,7,inhale,correct,0.322957800002769,P104
P104,-0.31,valid,8,inhale,correct,0.302758299993002,P104
P104,-0.31,invalid,9,inhale,correct,0.277212600005441,P104
P104,0.31,invalid,10,inhale,correct,0.280165699994541,P104
P104,-0.31,invalid,11,inhale,correct,0.489623500005109,P104
P104,0.31,valid,12,inhale,correct,0.339928699992015,P104
P104,10,catch,13,inhale,correct,NA,P104
P104,-0.31,invalid,14,inhale,correct,0.413806000011391,P104
